Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
8,Sun,10/20/2019,18:00 (19:00),Hoffenheim,1.2,2 0,0.8,Schalke 04,"29,477",PreZero Arena,Robert Hartmann,Match Report,

9,Fri,10/25/2019,20:30 (21:30),Mainz 05,1.3,3 1,1.9,KÃ¶ln,"31,999",Opel Arena,Frank Willenborg,Match Report,
9,Sat,10/26/2019,15:30 (16:30),Schalke 04,1,0 0,0.4,Dortmund,"61,873",Veltins-Arena,Felix Brych,Match Report,
9,Sat,10/26/2019,15:30 (16:30),Paderborn 07,0.8,2 0,1.4,DÃ¼sseldorf,"14,182",Benteler-Arena,Bastian Dankert,Match Report,
9,Sat,10/26/2019,15:30 (16:30),Hertha BSC,2,2 3,2,Hoffenheim,"44,702",Olympiastadion Berlin,Markus Schmidt,Match Report,
9,Sat,10/26/2019,15:30 (16:30),Freiburg,1.6,2 1,2.1,RB Leipzig,"24,000",Schwarzwald-Stadion,Harm Osmers,Match Report,
9,Sat,10/26/2019,15:30 (16:30),Bayern Munich,3.5,2 1,1.6,Union Berlin,"75,000",Allianz Arena,Marco Fritz,Match Report,
9,Sat,10/26/2019,18:30 (19:30),Leverkusen,1.9,2 2,0.7,Werder Bremen,"30,210",BayArena,Martin Petersen,Match Report,
9,Sun,10/27/2019,15:30 (17:30),Wolfsburg,0.9,0 0,0.8,Augsburg,"22,630",Volkswagen Arena,Tobias Stieler,Match Report,
9,Sun,10/27/2019,18:00 (20:00),M'gladbach,1.9,4 2,1,Eint Frankfurt,"52,300",Stadion im Borussia-Park,Daniel Schlager,Match Report,

10,Fri,11/1/2019,20:30 (22:30),Hoffenheim,1.7,3 0,0.5,Paderborn 07,"23,629",PreZero Arena,Robert SchrÃ¶der,Match Report,
10,Sat,11/2/2019,15:30 (17:30),RB Leipzig,3.5,8 0,0.8,Mainz 05,"38,517",Red Bull Arena,Guido Winkmann,Match Report,
10,Sat,11/2/2019,15:30 (17:30),Eint Frankfurt,2.8,5 1,1,Bayern Munich,"51,500",Commerzbank-Arena,Markus Schmidt,Match Report,
10,Sat,11/2/2019,15:30 (17:30),Dortmund,1.8,3 0,1.6,Wolfsburg,"80,200",Signal Iduna Park,Tobias Welz,Match Report,
10,Sat,11/2/2019,15:30 (17:30),Leverkusen,2.8,1 2,2.3,M'gladbach,"30,210",BayArena,Daniel Siebert,Match Report,
10,Sat,11/2/2019,15:30 (17:30),Werder Bremen,1.8,2 2,0.8,Freiburg,"41,000",Weserstadion,Christian Dingert,Match Report,
10,Sat,11/2/2019,18:30 (20:30),Union Berlin,1.2,1 0,0.4,Hertha BSC,"22,012",Stadion An der Alten FÃ¶rsterei,Deniz Aytekin,Match Report,
10,Sun,11/3/2019,15:30 (17:30),DÃ¼sseldorf,1.8,2 0,0.7,KÃ¶ln,"51,155",Merkur Spielarena,Sven Jablonski,Match Report,
10,Sun,11/3/2019,18:00 (20:00),Augsburg,1.6,2 3,0.6,Schalke 04,"30,361",WWK Arena,Patrick Ittrich,Match Report,

11,Fri,11/8/2019,20:30 (22:30),KÃ¶ln,0.7,1 2,1.8,Hoffenheim,"49,100",RheinEnergieSTADION,Robert Kampka,Match Report,
11,Sat,11/9/2019,15:30 (17:30),Mainz 05,2,2 3,0.9,Union Berlin,"24,349",Opel Arena,Harm Osmers,Match Report,
11,Sat,11/9/2019,15:30 (17:30),Hertha BSC,0.4,2 4,2,RB Leipzig,"48,532",Olympiastadion Berlin,SÃ¶ren Storks,Match Report,
11,Sat,11/9/2019,15:30 (17:30),Schalke 04,1.7,3 3,1.7,DÃ¼sseldorf,"61,831",Veltins-Arena,Robert Hartmann,Match Report,
11,Sat,11/9/2019,15:30 (17:30),Paderborn 07,1.2,0 1,1.1,Augsburg,"13,758",Benteler-Arena,Marco Fritz,Match Report,
11,Sat,11/9/2019,18:30 (20:30),Bayern Munich,3.1,4 0,0.6,Dortmund,"75,000",Allianz Arena,Felix Zwayer,Match Report,
11,Sun,11/10/2019,13:30 (15:30),M'gladbach,1.4,3 1,1.7,Werder Bremen,"54,022",Stadion im Borussia-Park,Tobias Stieler,Match Report,
11,Sun,11/10/2019,15:30 (17:30),Wolfsburg,0.8,0 2,1.4,Leverkusen,"24,112",Volkswagen Arena,Manuel GrÃ¤fe,Match Report,
11,Sun,11/10/2019,18:00 (20:00),Freiburg,0.7,1 0,1,Eint Frankfurt,"24,000",Schwarzwald-Stadion,Felix Brych,Match Report,

12,Fri,11/22/2019,20:30 (22:30),Dortmund,2.5,3 3,1.5,Paderborn 07,"81,365",Signal Iduna Park,Christian Dingert,Match Report,
12,Sat,11/23/2019,15:30 (17:30),Union Berlin,1.6,2 0,1.1,M'gladbach,"22,012",Stadion An der Alten FÃ¶rsterei,Felix Brych,Match Report,
12,Sat,11/23/2019,15:30 (17:30),Werder Bremen,1.8,1 2,0.6,Schalke 04,"42,100",Weserstadion,Benjamin Cortus,Match Report,
12,Sat,11/23/2019,15:30 (17:30),DÃ¼sseldorf,0.8,0 4,3.4,Bayern Munich,"53,000",Merkur Spielarena,Frank Willenborg,Match Report,
12,Sat,11/23/2019,15:30 (17:30),Leverkusen,3.6,1 1,1.1,Freiburg,"29,032",BayArena,Deniz Aytekin,Match Report,
12,Sat,11/23/2019,15:30 (17:30),Eint Frankfurt,1,0 2,1.2,Wolfsburg,"50,700",Commerzbank-Arena,Daniel Siebert,Match Report,
12,Sat,11/23/2019,18:30 (20:30),RB Leipzig,2.4,4 1,0.4,KÃ¶ln,"42,036",Red Bull Arena,Robert SchrÃ¶der,Match Report,
12,Sun,11/24/2019,15:30 (17:30),Augsburg,2,4 0,0.4,Hertha BSC,"29,233",WWK Arena,Sascha Stegemann,Match Report,
12,Sun,11/24/2019,18:00 (20:00),Hoffenheim,2.2,1 5,2.1,Mainz 05,"23,129",PreZero Arena,Bastian Dankert,Match Report,

13,Fri,11/29/2019,20:30 (22:30),Schalke 04,1.6,2 1,1.8,Union Berlin,"61,837",Veltins-Arena,Daniel Schlager,Match Report,
13,Sat,11/30/2019,15:30 (17:30),Hoffenheim,1.7,1 1,1,DÃ¼sseldorf,"25,427",PreZero Arena,Martin Petersen,Match Report,
13,Sat,11/30/2019,15:30 (17:30),Hertha BSC,1.1,1 2,1.2,Dortmund,"74,667",Olympiastadion Berlin,Sven Jablonski,Match Report,
13,Sat,11/30/2019,15:30 (17:30),Paderborn 07,1.8,2 3,2.1,RB Leipzig,"13,253",Benteler-Arena,Bibiana Steinhaus,Match Report,
13,Sat,11/30/2019,15:30 (17:30),KÃ¶ln,1.4,1 1,1.9,Augsburg,"49,200",RheinEnergieSTADION,Tobias Stieler,Match Report,
13,Sat,11/30/2019,18:30 (20:30),Bayern Munich,2.4,1 2,1.1,Leverkusen,"75,000",Allianz Arena,Guido Winkmann,Match Report,
13,Sun,12/1/2019,15:30 (17:30),M'gladbach,4.8,4 2,1.5,Freiburg,"51,080",Stadion im Borussia-Park,Felix Zwayer,Match Report,
13,Sun,12/1/2019,18:00 (20:00),Wolfsburg,2.2,2 3,1.4,Werder Bremen,"26,012",Volkswagen Arena,Robert Kampka,Match Report,
13,Mon,12/2/2019,20:30 (22:30),Mainz 05,2,2 1,1,Eint Frankfurt,"33,134",Opel Arena,Manuel GrÃ¤fe,Match Report,

14,Fri,12/6/2019,20:30 (22:30),Eint Frankfurt,2.8,2 2,1.2,Hertha BSC,"50,000",Commerzbank-Arena,Christian Dingert,Match Report,
14,Sat,12/7/2019,15:30 (17:30),M'gladbach,1.3,2 1,1.7,Bayern Munich,"54,022",Stadion im Borussia-Park,Marco Fritz,Match Report,
14,Sat,12/7/2019,15:30 (17:30),Dortmund,3.2,5 0,0.1,DÃ¼sseldorf,"81,365",Signal Iduna Park,Daniel Siebert,Match Report,
14,Sat,12/7/2019,15:30 (17:30),Freiburg,0.5,1 0,1.2,Wolfsburg,"23,800",Schwarzwald-Stadion,Bastian Dankert,Match Report,
14,Sat,12/7/2019,15:30 (17:30),Augsburg,3.3,2 1,0.5,Mainz 05,"26,950",WWK Arena,Markus Schmidt,Match Report,
14,Sat,12/7/2019,15:30 (17:30),RB Leipzig,3.7,3 1,1.4,Hoffenheim,"38,407",Red Bull Arena,Deniz Aytekin,Match Report,
14,Sat,12/7/2019,18:30 (20:30),Leverkusen,2.2,2 1,1.2,Schalke 04,"30,210",BayArena,Harm Osmers,Match Report,
14,Sun,12/8/2019,15:30 (17:30),Union Berlin,1.9,2 0,1.1,KÃ¶ln,"22,012",Stadion An der Alten FÃ¶rsterei,Patrick Ittrich,Match Report,
